IP_ADDRESS,TEST_DATE,TIME_ZONE,DOWNLOAD_MEGABITS,UPLOAD_MEGABITS,LATENCY_MS,SERVER_NAME,nombre,DISTANCE_MILES,CONNECTION_MODE,SERVER_COUNT,Conexion,Clima,Dispositivo,Dispositivos_conectados,Dia,Localizacion,etapa_dia,operador,velocidad_descarga_contratada_MEGABITS,velocidad_subida_contratada_MEGABITS,pais,PIB_percapita_pais_dolares
181.58.38.92,6/8/2021 11:03,GMT,6.58,6.24,304,Beijing,Beijing Broadband Network,9150,multi,1,wifi 2.4GHz,Tormentas electricas dispersas,portatil,7,Sabado,"6.240133, -75.585679",mañana,claro,60,10,China,10500.4
181.58.38.92,6/8/2021 11:05,GMT,6.12,7.48,276,Taipei,Friday Media,10000,multi,1,wifi 5GHz,Tormentas electricas dispersas,escritorio ,7,Sabado,"6.240133, -75.585679",mañana,claro,60,10,Taiwan,28306
181.58.38.92,6/8/2021 11:06,GMT,6.65,7.38,283,Taipei,Friday Media,10000,multi,1,wifi 2.4GHz,Tormentas electricas dispersas,portatil,7,Sabado,"6.240133, -75.585679",mañana,claro,60,10,Taiwan,28306
181.58.38.92,6/8/2021 11:06,GMT,57.54,8.61,13,MedellÃ­n,Claro Colombia,0,multi,4,wifi 5GHz,Tormentas electricas dispersas,escritorio ,7,Sabado,"6.240133, -75.585679",mañana,claro,60,10,Colombia,5332.8
181.58.38.92,6/8/2021 11:09,GMT,60.9,8.46,13,MedellÃ­n,Claro Colombia,0,multi,4,wifi 2.4GHz,Tormentas electricas dispersas,portatil,7,Sabado,"6.240133, -75.585679",mañana,claro,60,10,Colombia,5332.8
181.58.38.92,6/8/2021 16:05,GMT,5.51,6.75,300,Beijing,Beijing Broadband Network,9150,multi,1,wifi 5GHz,Nublado,escritorio ,5,Sabado,"6.240133, -75.585679",tarde,claro,60,10,China,10500.4
181.58.38.92,6/8/2021 16:06,GMT,5.34,6.27,301,Beijing,Beijing Broadband Network,9150,multi,1,wifi 2.4GHz,Nublado,portatil,5,Sabado,"6.240133, -75.585679",tarde,claro,60,10,China,10500.4
181.58.38.92,6/8/2021 16:06,GMT,6.97,7.4,279,Taipei,Friday Media,10000,multi,1,wifi 5GHz,Nublado,escritorio ,5,Sabado,"6.240133, -75.585679",tarde,claro,60,10,Taiwan,28306
181.58.38.92,6/8/2021 16:07,GMT,6.64,7.23,280,Taipei,Friday Media,10000,multi,1,wifi 2.4GHz,Nublado,portatil,5,Sabado,"6.240133, -75.585679",tarde,claro,60,10,Taiwan,28306
181.58.38.92,6/8/2021 16:07,GMT,63.19,8.95,10,MedellÃ­n,Claro Colombia,0,multi,4,wifi 5GHz,Nublado,escritorio ,5,Sabado,"6.240133, -75.585679",tarde,claro,60,10,Colombia,5332.8
181.58.38.92,6/8/2021 16:08,GMT,55.99,8.34,11,MedellÃ­n,Claro Colombia,0,multi,4,wifi 2.4GHz,Nublado,portatil,5,Sabado,"6.240133, -75.585679",tarde,claro,60,10,Colombia,5332.8
181.58.38.92,6/8/2021 21:02,GMT,5.61,6.37,303,Beijing,Beijing Broadband Network,9150,multi,1,wifi 5GHz,Tormentas dispersas,escritorio ,10,Sabado,"6.240133, -75.585679",noche,claro,60,10,China,10500.4
181.58.38.92,6/8/2021 21:05,GMT,5.7,6.68,300,Beijing,Beijing Broadband Network,9150,multi,1,wifi 2.4GHz,Tormentas dispersas,portatil,10,Sabado,"6.240133, -75.585679",noche,claro,60,10,China,10500.4
181.58.38.92,6/8/2021 21:05,GMT,6.49,7.69,274,Taipei,Friday Media,10000,multi,1,wifi 5GHz,Tormentas dispersas,escritorio ,10,Sabado,"6.240133, -75.585679",noche,claro,60,10,Taiwan,28306
181.58.38.92,6/8/2021 21:06,GMT,6.97,7.94,277,Taipei,Friday Media,10000,multi,1,wifi 2.4GHz,Tormentas dispersas,portatil,10,Sabado,"6.240133, -75.585679",noche,claro,60,10,Taiwan,28306
181.58.38.92,6/8/2021 21:06,GMT,61.28,8.07,11,MedellÃ­n,Claro Colombia,0,multi,4,wifi 5GHz,Tormentas dispersas,escritorio ,10,Sabado,"6.240133, -75.585679",noche,claro,60,10,Colombia,5332.8
181.58.38.92,6/8/2021 21:07,GMT,59.56,8.23,15,MedellÃ­n,Claro Colombia,0,multi,4,wifi 2.4GHz,Tormentas dispersas,portatil,10,Sabado,"6.240133, -75.585679",noche,claro,60,10,Colombia,5332.8
